|ItemKNNCF| iter:   224/1980 | topk: 180 | shrink:  20 | sim type: 'splus' | MAP: 0.0473 |
|ItemKNNCF| iter:   225/1980 | topk: 180 | shrink:  25 | sim type: 'splus' | MAP: 0.0477 |
|ItemKNNCF| iter:   226/1980 | topk: 180 | shrink:  30 | sim type: 'splus' | MAP: 0.0480 |
|ItemKNNCF| iter:   227/1980 | topk: 180 | shrink:  35 | sim type: 'splus' | MAP: 0.0482 |
|ItemKNNCF| iter:   228/1980 | topk: 180 | shrink:  40 | sim type: 'splus' | MAP: 0.0485 |
|ItemKNNCF| iter:   229/1980 | topk: 180 | shrink:  45 | sim type: 'splus' | MAP: 0.0485 |
|ItemKNNCF| iter:   230/1980 | topk: 180 | shrink:  50 | sim type: 'splus' | MAP: 0.0487 |
|ItemKNNCF| iter:   231/1980 | topk: 180 | shrink:  55 | sim type: 'splus' | MAP: 0.0488 |
|ItemKNNCF| iter:   232/1980 | topk: 180 | shrink:  60 | sim type: 'splus' | MAP: 0.0486 |
|ItemKNNCF| iter:   233/1980 | topk: 180 | shrink:  65 | sim type: 'splus' | MAP: 0.0484 |
|ItemKNNCF| iter:   234/1980 | topk: 180 | shrink:  70 | sim type: 'splus' | MAP: 0.0483 |
|ItemKNNCF| iter:   235/1980 | topk: 180 | shrink:  75 | sim type: 'splus' | MAP: 0.0483 |
|ItemKNNCF| iter:   236/1980 | topk: 180 | shrink:  80 | sim type: 'splus' | MAP: 0.0484 |
|ItemKNNCF| iter:   237/1980 | topk: 180 | shrink:  85 | sim type: 'splus' | MAP: 0.0482 |
|ItemKNNCF| iter:   238/1980 | topk: 180 | shrink:  90 | sim type: 'splus' | MAP: 0.0482 |
|ItemKNNCF| iter:   239/1980 | topk: 180 | shrink:  95 | sim type: 'splus' | MAP: 0.0480 |
|ItemKNNCF| iter:   240/1980 | topk: 190 | shrink:   0 | sim type: 'splus' | MAP: 0.0219 |
|ItemKNNCF| iter:   241/1980 | topk: 190 | shrink:   5 | sim type: 'splus' | MAP: 0.0386 |
|ItemKNNCF| iter:   242/1980 | topk: 190 | shrink:  10 | sim type: 'splus' | MAP: 0.0437 |
|ItemKNNCF| iter:   243/1980 | topk: 190 | shrink:  15 | sim type: 'splus' | MAP: 0.0458 |
|ItemKNNCF| iter:   244/1980 | topk: 190 | shrink:  20 | sim type: 'splus' | MAP: 0.0471 |
