13-12-2020-01:00:35
HMR(Hsim(ItemKNNCF, ItemKNNCB),P3alpha,Hsim(UserKNNCF, UserKNNCB),Hsim(SLIM_MSE, SLIM_BPR),PureSVD,IALS)
|iter:   138/2500 | vec: [0.48119994 0.19645843 0.07465601 0.06474004 0.00072551 0.18222006] | norm: l2 | MAP: 0.0726 |
|iter:   139/2500 | vec: [0.17972448 0.02508394 0.06430137 0.40688423 0.04926188 0.27474411] | norm: l2 | MAP: 0.0659 |
|iter:   140/2500 | vec: [0.30930575 0.12047225 0.17809765 0.01197477 0.12826352 0.25188605] | norm: l2 | MAP: 0.0702 |
|iter:   141/2500 | vec: [0.10786034 0.02177444 0.01229287 0.07197638 0.11184043 0.67425554] | norm: l2 | MAP: 0.0649 |
|iter:   142/2500 | vec: [0.14332098 0.17885615 0.08758764 0.08279147 0.18803637 0.31940738] | norm: l2 | MAP: 0.0653 |
|iter:   143/2500 | vec: [0.03414425 0.09770935 0.17699253 0.55188275 0.05377854 0.08549258] | norm: l2 | MAP: 0.0608 |
|iter:   144/2500 | vec: [0.12795994 0.02324683 0.14365617 0.55710945 0.04852064 0.09950697] | norm: l2 | MAP: 0.0630 |
|iter:   145/2500 | vec: [0.02154219 0.12564143 0.61286602 0.13455274 0.04133868 0.06405894] | norm: l2 | MAP: 0.0627 |
|iter:   146/2500 | vec: [0.16475852 0.32548348 0.10108961 0.11271506 0.27733541 0.01861791] | norm: l2 | MAP: 0.0638 |
|iter:   147/2500 | vec: [0.50255748 0.10398128 0.06703235 0.25078888 0.04929981 0.0263402 ] | norm: l2 | MAP: 0.0705 |
|iter:   148/2500 | vec: [0.09392496 0.35118796 0.03337816 0.18881879 0.08450032 0.24818981] | norm: l2 | MAP: 0.0644 |
|iter:   149/2500 | vec: [0.02503076 0.2501086  0.43323269 0.06470567 0.07361568 0.1533066 ] | norm: l2 | MAP: 0.0634 |
|iter:   150/2500 | vec: [0.21111688 0.0094415  0.17663291 0.26470914 0.24731424 0.09078533] | norm: l2 | MAP: 0.0645 |
|iter:   151/2500 | vec: [0.36291205 0.16611949 0.04334998 0.07057772 0.18840651 0.16863425] | norm: l2 | MAP: 0.0704 |
|iter:   152/2500 | vec: [0.28231684 0.21864398 0.04174689 0.08824548 0.26229284 0.10675397] | norm: l2 | MAP: 0.0669 |
|iter:   153/2500 | vec: [0.05037825 0.54662803 0.11780971 0.07296349 0.14147676 0.07074376] | norm: l2 | MAP: 0.0618 |
|iter:   154/2500 | vec: [0.07277859 0.25010699 0.36613264 0.12135774 0.04051147 0.14911258] | norm: l2 | MAP: 0.0641 |
|iter:   155/2500 | vec: [0.16600665 0.18498104 0.08866897 0.47456088 0.07304074 0.01274173] | norm: l2 | MAP: 0.0646 |
|iter:   156/2500 | vec: [0.18776261 0.21152049 0.04253137 0.0296905  0.13544369 0.39305134] | norm: l2 | MAP: 0.0677 |
|iter:   157/2500 | vec: [0.07638784 0.20244566 0.08004599 0.35284346 0.16409022 0.12418683] | norm: l2 | MAP: 0.0627 |
|iter:   158/2500 | vec: [0.14547183 0.10329952 0.03060381 0.07334322 0.42718699 0.22009463] | norm: l2 | MAP: 0.0586 |
|iter:   159/2500 | vec: [0.14513095 0.21844051 0.03105891 0.10779928 0.45542554 0.04214481] | norm: l2 | MAP: 0.0590 |
|iter:   160/2500 | vec: [0.50352178 0.23646516 0.14539317 0.05869637 0.01212013 0.0438034 ] | norm: l2 | MAP: 0.0717 |
|iter:   161/2500 | vec: [0.18088781 0.073314   0.21745059 0.03254939 0.23242824 0.26336997] | norm: l2 | MAP: 0.0651 |
|iter:   162/2500 | vec: [0.39730707 0.07077764 0.07822266 0.0206136  0.01633596 0.41674308] | norm: l2 | MAP: 0.0727 |
