19-12-2020-01:05:37
|UserKNNCF| iter:   205/1740 | topk: 110 | shrink:  50 | sim type: splus | MAP: 0.0562 |
|UserKNNCF| iter:   206/1740 | topk: 110 | shrink:  60 | sim type: splus | MAP: 0.0565 |
|UserKNNCF| iter:   207/1740 | topk: 110 | shrink:  70 | sim type: splus | MAP: 0.0564 |
|UserKNNCF| iter:   208/1740 | topk: 110 | shrink:  80 | sim type: splus | MAP: 0.0565 |
|UserKNNCF| iter:   209/1740 | topk: 110 | shrink:  90 | sim type: splus | MAP: 0.0566 |
|UserKNNCF| iter:   210/1740 | topk: 110 | shrink: 100 | sim type: splus | MAP: 0.0564 |
|UserKNNCF| iter:   211/1740 | topk: 110 | shrink: 110 | sim type: splus | MAP: 0.0563 |
|UserKNNCF| iter:   212/1740 | topk: 110 | shrink: 120 | sim type: splus | MAP: 0.0564 |
|UserKNNCF| iter:   213/1740 | topk: 110 | shrink: 130 | sim type: splus | MAP: 0.0568 |
|UserKNNCF| iter:   214/1740 | topk: 110 | shrink: 140 | sim type: splus | MAP: 0.0567 |
|UserKNNCF| iter:   215/1740 | topk: 110 | shrink: 150 | sim type: splus | MAP: 0.0566 |
|UserKNNCF| iter:   216/1740 | topk: 110 | shrink: 160 | sim type: splus | MAP: 0.0565 |
|UserKNNCF| iter:   217/1740 | topk: 110 | shrink: 170 | sim type: splus | MAP: 0.0564 |
|UserKNNCF| iter:   218/1740 | topk: 110 | shrink: 180 | sim type: splus | MAP: 0.0566 |
|UserKNNCF| iter:   219/1740 | topk: 110 | shrink: 190 | sim type: splus | MAP: 0.0565 |
|UserKNNCF| iter:   220/1740 | topk: 120 | shrink:   0 | sim type: splus | MAP: 0.0514 |
|UserKNNCF| iter:   221/1740 | topk: 120 | shrink:  10 | sim type: splus | MAP: 0.0548 |
|UserKNNCF| iter:   222/1740 | topk: 120 | shrink:  20 | sim type: splus | MAP: 0.0552 |
|UserKNNCF| iter:   223/1740 | topk: 120 | shrink:  30 | sim type: splus | MAP: 0.0555 |
|UserKNNCF| iter:   224/1740 | topk: 120 | shrink:  40 | sim type: splus | MAP: 0.0557 |
|UserKNNCF| iter:   225/1740 | topk: 120 | shrink:  50 | sim type: splus | MAP: 0.0560 |
|UserKNNCF| iter:   226/1740 | topk: 120 | shrink:  60 | sim type: splus | MAP: 0.0564 |
|UserKNNCF| iter:   227/1740 | topk: 120 | shrink:  70 | sim type: splus | MAP: 0.0564 |
|UserKNNCF| iter:   228/1740 | topk: 120 | shrink:  80 | sim type: splus | MAP: 0.0564 |
|UserKNNCF| iter:   229/1740 | topk: 120 | shrink:  90 | sim type: splus | MAP: 0.0564 |
|UserKNNCF| iter:   230/1740 | topk: 120 | shrink: 100 | sim type: splus | MAP: 0.0563 |
|UserKNNCF| iter:   231/1740 | topk: 120 | shrink: 110 | sim type: splus | MAP: 0.0563 |
|UserKNNCF| iter:   232/1740 | topk: 120 | shrink: 120 | sim type: splus | MAP: 0.0565 |
|UserKNNCF| iter:   233/1740 | topk: 120 | shrink: 130 | sim type: splus | MAP: 0.0567 |
|UserKNNCF| iter:   234/1740 | topk: 120 | shrink: 140 | sim type: splus | MAP: 0.0566 |
|UserKNNCF| iter:   235/1740 | topk: 120 | shrink: 150 | sim type: splus | MAP: 0.0567 |
|UserKNNCF| iter:   236/1740 | topk: 120 | shrink: 160 | sim type: splus | MAP: 0.0565 |
|UserKNNCF| iter:   237/1740 | topk: 120 | shrink: 170 | sim type: splus | MAP: 0.0565 |
|UserKNNCF| iter:   238/1740 | topk: 120 | shrink: 180 | sim type: splus | MAP: 0.0566 |
|UserKNNCF| iter:   239/1740 | topk: 120 | shrink: 190 | sim type: splus | MAP: 0.0566 |
|UserKNNCF| iter:   240/1740 | topk: 130 | shrink:   0 | sim type: splus | MAP: 0.0514 |
|UserKNNCF| iter:   241/1740 | topk: 130 | shrink:  10 | sim type: splus | MAP: 0.0547 |
|UserKNNCF| iter:   242/1740 | topk: 130 | shrink:  20 | sim type: splus | MAP: 0.0551 |
|UserKNNCF| iter:   243/1740 | topk: 130 | shrink:  30 | sim type: splus | MAP: 0.0555 |
|UserKNNCF| iter:   244/1740 | topk: 130 | shrink:  40 | sim type: splus | MAP: 0.0558 |
|UserKNNCF| iter:   245/1740 | topk: 130 | shrink:  50 | sim type: splus | MAP: 0.0560 |
